restaurant_id,restaurant_name,cuisine_type
2923,The Belgian Waffle Co.,Mini Pancakes
2924,The Story House,Pasta
2925,Maa Ki Rasoi,Kofte Ki Sabji
2926,MP's Kitchen,Recommended
2927,Sri Ganga veg restaurant,Combos
2928,Wow! Kulfi,Popsicle Sorbet  Icecream
2929,Ovenly by Khurana's,100% Whole Wheat Breads
2930,Sherawat Juice And Ice Cream Parlour,Juices
2931,Full House - Aquilaria Clubhouse,Salad
2932,Tibetan Bowl,Rice
2933,Grand Biryani Mahal,Chineese
2934,Hong's Kitchen - Hearty! Tasty! Chinese!,Bao Burger
2935,PizzaExpress,Speciality Pizzas
2936,Pind Balluchi,Breads
2937,Mellow,Rice & Biryani
2938,Jain Mithai Bhandar (JMB),Vada pav
2939,Gangaur Govindam,Refreshments
2940,Dejavu,MAIN COURSE VEG
2941,Handi Punjab Ki,Soya Chaap
2942,Kwality Walls Ice Cream and More,Premium Family Tubs (700ml)
2943,Jai Krishna Vaishno Dhaba,Breakfast N Beverages
2944,Steamin Mugs Cafe & Restaurant,Starters
2945,Beekays,Momos
2946,Itminaan Matka Biryani - Slow Cooked,Recommended
2947,Chick Blast (Rajbagh),Biryani
2948,Haldiram's Sweets and Namkeen,Bengali Sweets
2949,Jain Mithai Bhandar (JMB),Chinese
2950,Ovenfresh Cakes and Desserts,Cupcakes By CakeZone
2951,Pour Tous,Schezwan Noodles
2952,Sakana,Sides
2953,Mountain's Pizza Club,Mountain Paneer
2954,Loyans Bakery & Confectionery,Cakes(Egg-Free)
2955,Haldiram's Restaurant,Burgerwich
2956,Khullak Cafe,Macaroni
2957,Mio Amore,Bread
2958,City Wok Restaurant,Fried Rice
2959,Crescent International Hotel,Appetizers and Gravy Chinese
2960,Tiffin aaw,Kashmiri chicken dishes family pack
2961,Sangeetha's Desi Mane - Annanagar,Hot Beverages & Aerated Drinks
2962,Amritsari Restaurant Katora Talab,Rice
2963,Trelly,Mix Noodles
2964,Baba Au Rhum Badem,Breads
2965,Aromas Cafe & Bistro,Recommended
2966,Biryani Hut,Recommended
2967,Noodle Kitchen,COMBOS
2968,Emerald 3:14,Sandwiches
2969,Moti Mahal,Sandwiches
2970,ROMNIK PIZZA,Wraps
2971,Sangeetha Veg Restaurant,Rice Bowls Small
2972,Homely,Roti & Rice
2973,Srinidhi Sagar Deluxe,Dosas
2974,Bombay Mishthan Bhandar (Bmb) - Sanganeeri Gate,Savouries
2975,The Fisherman's Wharf,Tawa Sigdi Tandoor
2976,Bambusa express,Mains
2977,Khullak Cafe,Roll
2978,Grills Cafe,Kantis
2979,Aromas Cafe & Bistro,Sandwiches
2980,Anna Punjabi,Roti
2981,"UBQ-Meals,Thalis & Bowls",Barbeque in a Box (Serves 2-3)
2982,IGP Cakes,Birthday Special
2983,Bengaluru Central Cafe,South Indian Dishes
2984,Shaan Sweets And Snacks,South Indian
2985,Chullah,Paratha And Eggs
2986,Momo Magic Cafe,Non-veg Curry
2987,Indrani Sweets And Restaurant,Soups
2988,Lo! - Low Carb and Keto Foods,Keto Omelette & Eggs
2989,Bektash,Tikka & Kebab
2990,Grill's,Shawarma
2991,Daya Hari Mithai,Bengali Item
2992,Scholars,Prawn Main Course
2993,Wood Street Cafe,Christmas Gifting
2994,Bangaliana,Chef Special Non Veg Items
2995,Hill View Holiday Home And Resort,Combos
2996,Khullak Cafe,Fries
2997,Millet Express,Recommended
2998,La Pino'z Pizza,Four Course Meal
2999,Gopal Mistanna Bhandar,Snacks
3000,Hot Stuff Fast Food,Recommended
3001,Hot Breads,Breads & Buns
3002,Suruchi,Roti
3003,Big Hunger Ashoka Biryani,Breads
3004,7Th Heaven,Recommended
3005,Homely,Value Meals
3006,Hotel Saj International,Varieties Of Fish
3007,Hotel Maharaja and Fast Food,Chowmein
3008,KFC,ONAM SPECIAL
3009,Baskin Robbins - Ice Cream Desserts,Flash Sale
3010,Attitude Cafe And Restaurant Nxt,Non Veg Burger
3011,Haona Chao,Recommended
3012,Handi Punjab Ki,Crispy Potato
3013,Yadav Doodh Dairy,Dairy Products
3014,ABC Fast Food,Soups & Thukpas
3015,Papputt's Valsa Cafe,Snacks
3016,Sangeetha Veg Restaurant,Chinese Rice & Noodles
3017,Baba Au Rhum Badem,Bites
3018,Parivaar Vegetarian,Rice & Biryani 
3019,Mughlai Restaurant,Non Veg Noodles
3020,Mad For Momos,Momos 10 pcs
3021,Food Lovers Restaurant,Recommended
3022,Mithaas,Breakfast
3023,KFC,All Day Lunch Special Meal Box (save Rs 115)
3024,Navtara Veg Restaurant,Recommended
3025,Cafe Aurora,Cafe Aurora Noodles
3026,Snehalata Fast Food,Combos
3027,Food Hut,Recommended
3028,Ram Krishna Dalbati,Recommended
3029,Captain Sam's Pizza,Match Day Combo
3030,Shree Agarwal Caterers,Gift Hampers
3031,Malabar Plaza,Kothu Parotta Corner
3032,Kalsang Friends Corner,Tofu
3033,Gopal's,Accompaniments
3034,Tan-Sukh By Kanha,Thali & Platters
3035,Home Plate by EatFit,Deluxe Thali (New)
3036,Chullah,Veg Main Course
3037,Tunday Kababi,Assorted Breads
3038,Maa Ki Rasoi,South Indian
3039,Hira Sweets,Chinese
3040,One Bites Sanjauli,Milk Shakes
3041,Shanghai Flavours of China Town,Recommended
3042,Harishankar Veg Restro,Rice
3043,Bawarchi Fast Food,Thali
3044,BOOM - Sub Style Sandwiches,BOOM Spicy
3045,Gokul Oottupura,Indian Breads
3046,Bread Cafe,Pastas
3047,Ovenfresh,Match Day Combo
3048,SRIVARI BHIMMAS,Desi Starters
3049,Flavours Of Punjab,Breads
3050,Crescent International Hotel,Mutton Gravy
3051,Daya Hari Mithai,Starter
3052,Oudh 1590,Recommended
3053,Dubai Hut,Non Veg Dishes
3054,Hira Sweets And Confectionary Pvt. Ltd.,"Rice, Papad & Raita"
3055,"Ovenfresh Pizzas, Cakes & Desserts",Recommended
3056,Goila Butter Chicken,Original Non-Veg Main Course
3057,Daya Hari Chatpata,Dal
3058,Lamee,Noodles
3059,Pour Tous,Indian Main Course (non-veg)
3060,Salem RR Biriyani Unavagam,Tiffin
3061,Bowljini Mix Eat Repeat,Recommended
3062,Mahawar Baker's & Sweets,Gravy Main Course 
3063,Crescent International Hotel,Veg Noodles
3064,Mahalaxmi Sweets & Restaurant,Dessrt Chhena
3065,Fast Pizza,Beverage Combos
3066,The Garage Cafe,Pizza
3067,Arusuvai Cafe,Ahy Time Menu
3068,Sher E Punjab,Recommended
3069,Nom Nom: Asian Bar & Eatery,Salad
3070,Priyas - Pure Veg,Starters
3071,Andhra Gunpowder,Idiyappam Curry Bowls
3072,Madhurima Veg,Special Thalis
3073,Mani's Cafe,Beverages
3074,Hotel Maharaja and Fast Food,Veg
3075,Mio Amore - The Cake Shop,Pastries
3076,Kingdom of Momos,Noodles
3077,NH1 Bowls - Highway To North,Non-Veg Paratha Bowls
3078,Machhli Baba Fries,Dessert
3079,Spice Garden,Salad & Papad
3080,Singh's Town Cafe,Chai Ke Sang
3081,Dou,Breakfast
3082,Mad Over Donuts,Single Donuts
3083,Roastery Coffee House,Pasta
3084,hotel Toshali,Biryani
3085,Wow! Chicken By Wow! Momo,Wow! Thunderzz
3086,Idleewala,Dosa Masala
3087,Ovenly by Khurana's,Baker's Confectionery
3088,Jain Mithai Bhandar (JMB),Bangali Sweets
3089,Sagar Ratna,Thalis
3090,"WeFit - Protein Bowls, Salads & Sandwiches",*New* High-Protein Rice Bowls
3091,Kashmir Trout,Rolls
3092,Burger King,Burgers & Wraps
3093,Lhasa Restaurant,Chopsuey
3094,Punjabi Rasoi,Indian Meals
3095,Mughlai Restaurant,Healthy Soya Chap Special Items
3096,Chick Blast (Rajbagh),Chcken  Strips BL
3097,Frozen Bottle,Belgian Waffles
3098,The Eleganza,Paneer (Indian Cheese)
3099,The Master Chef,Veg Pizza
3100,Khana Khazana,Rice biryani
3101,MP Dhaba,Fried Rice and Noodles
3102,Chef's Planet,Raita
3103,The Family Food Truck,Dumpling
3104,Chopstyx,Seafood
3105,Gokul Oottupura,Breakfast Specials
3106,Sri Tiffins,Breakfast Bestsellers
3107,Chullah,Combo and Meals
3108,Naobas Chakhumang Restaurant,Snacks
3109,Hot Breads,Puffs & Bakery Bites
3110,Neelkanth Sweets,Special Thali
3111,Sambharsa,Uttapam
3112,Sangeetha Veg Restaurant,Chinese Sauces
3113,Gwalia Sweets & Fast Food,Bangali Sweets
3114,Tibetan Bowl,Chicken
3115,Poetry By Love & Cheesecake,Soups and Smoothie Bowls
3116,Olio - The Wood Fired Pizzeria,Desserts
3117,Gurukripa Restaurant - Sarwate,Breads
3118,Shree Agarwal Caterers,Combos
3119,The Belgian Waffle Co.,IPL special Combos
3120,Nazim Khan Kathi Roll,Non Veg Burger
3121,Rattan's Veg & Non Veg,Biryani
3122,The Retro Rolls,Cold Beverages
3123,KAVERI's,Sweets
3124,Hotel Polo Towers,"Sandwiches, Burgers"
3125,Porch Grill Restaurant,Lime
3126,Books & Bricks Cafe,Sandwiches
3127,Felafels Restaurant,Mains (non-veg)
3128,Dawat,CHINESE COMBOS
3129,I food u,Appetizers
3130,Giani,Cassata
3131,Food moments,Wrap
3132,The Meating Point,Steam/Fry
3133,Lamee,Fish
3134,Apsara Ice Creams,Vegan (sorbets And Popsicles)
3135,Pizza Crust,Dips
3136,Amritsari Food Platter,Amritsari Kulcha With Chole
3137,Theth Masala,Rice And Biryani
3138,Sandwich Junction,Recommended
3139,Chandimata Mistanna Bhander,Pithe Utsav
3140,Supreme Upper Crust,Upper Crust Signature Dishes
3141,"Greenox- Healthy Bites, Happy Lives",Cold Coffee
3142,Nathu'S Sweets And Restaurant,Combo Meals
3143,Hotel Rimi International,Breakfast A La Carte
3144,Oberai Bakers & Cafe,Biryani / Pulao
3145,Pandhal Cake Shop,Cakes
3146,Paris Panini - Gourmet Sandwiches & Wraps,Recommended
3147,One Bite New,Veg Pizza
3148,Chetak Sweet Point,Small Delights
3149,Hira Sweets And Confectionary Pvt. Ltd.,Nukkad Ki Chaat
3150,Churuwala,Breakfast [No Onion & No Garlic]
3151,Jay Bhavani Vadapav,Vadapav
3152,The Prashadam,South Indian (100% Shudh Desi Ghee)
3153,Dessi Cuppa,Shakes
3154,Zongri Bakery & Cafe,Pasta
3155,Babe da Dhaba,Veg Main Course
3156,Mahalaxmi Sweets,Snacks
3157,Dejavu,RICE
3158,Millet Express,Millet Kerala Parotta with Curry
3159,Jamie Oliver's Pizzeria,Recommended
3160,MOJO Pizza - 2X Toppings,Chicken Starters
3161,Udupi Cafe North India,Multicuisine
3162,Hill View Holiday Home And Resort,Pocket Friendly Combo (serve 1)
3163,Haldiram's Sweets and Namkeen,Namkeen
3164,Abar Khabo,Noodles
3165,PizzaExpress,Gourmet Veg Pizzas (11 Inch/14Inch)
3166,Bowl Soul,Omelettes
3167,Paprika - Pramod Laddu Bhandar,Pizza
3168,DMB Sweets Pvt Ltd,Snacks 
3169,Winni Cakes & More,Cupcakes & Cream Rolls
3170,Viggis,Recommended
3171,BOOM - Sub Style Sandwiches,Chicken Starters
3172,Anandji Sweets,Ghee Sweets
3173,Anna Snacks,Evening Special
3174,Minus 30,Classic
3175,Books & Bricks Cafe,Coffee
3176,Bikaner Sweets And Namkeen,Snacks
3177,Baba Tourist Lodge,Mutton deluxe thali
3178,Madhurima Veg,"Pizza, Burger & Sandwichs"
3179,Uthuppans Uppum Mulakum Restaurant,Salads
3180,Shiv Sagar,Fresh Fruit Juices
3181,Attitude Cafe And Restaurant Nxt,Tandoor E Snacks
3182,Hotel Sitara Grand - Dhanturi Group of hotels,From The Clay Oven
3183,Saudagar,Tandoor Starters
3184,Chullah,Recommended
3185,Pikwik Since 1991,Rice Bowls With Drink
3186,Siddhu Punjabi Bhojnalaya,Vegetable
3187,Radhey Lal Premium Sweets,Summer Cool Special Pack of Five 
3188,"Bhatti Chicken - Grilled, NOT Fried!",Veg Starters
3189,Delly Belly,Beverages
3190,Srinidhi Sagar Deluxe,Manchurian & Chilly
3191,Momo Nation Cafe,MNC Special Momos
3192,Trelly,Indian Veg
3193,Kudil Restaurant,MEAT
3194,Momo Nation Cafe,Roti
